연번,지연일자,노선,지연시간대,최대지연시간
795,2023-06-07,5호선 (상일동행),첫차~09시,10분
796,2023-06-07,5호선 (방화행),첫차~09시,10분
797,2023-06-08,1호선 (하행선),09시~18시,30분 이상
798,2023-06-08,1호선 (상행선),09시~18시,30분 이상
799,2023-06-08,1호선 (하행선),첫차~09시,30분 이상
800,2023-06-08,1호선 (상행선),첫차~09시,30분 이상
801,2023-06-08,2호선 (외선),첫차~09시,5분
802,2023-06-08,3호선 (상행선),첫차~09시,5분
803,2023-06-08,3호선 (하행선),첫차~09시,5분
804,2023-06-08,4호선 (상행선),첫차~09시,10분
805,2023-06-08,4호선 (하행선),첫차~09시,10분
806,2023-06-09,1호선 (하행선),첫차~09시,10분
807,2023-06-09,1호선 (상행선),첫차~09시,20분
808,2023-06-09,2호선 (외선),첫차~09시,10분
809,2023-06-09,3호선 (하행선),첫차~09시,5분
810,2023-06-09,3호선 (상행선),첫차~09시,5분
811,2023-06-09,4호선 (하행선),첫차~09시,15분
812,2023-06-09,4호선 (상행선),첫차~09시,10분
813,2023-06-09,8호선 (모란행),첫차~09시,10분
814,2023-06-09,8호선 (암사행),첫차~09시,10분
815,2023-06-10,1호선 (하행선),09시~18시,25분
816,2023-06-10,1호선 (상행선),09시~18시,30분 이상
817,2023-06-12,1호선 (하행선),첫차~09시,10분
818,2023-06-12,1호선 (상행선),첫차~09시,20분
819,2023-06-12,5호선 (마천행),첫차~09시,10분
820,2023-06-12,5호선 (상일동행),첫차~09시,10분
821,2023-06-13,1호선 (하행선),첫차~09시,15분
822,2023-06-13,2호선 (외선),첫차~09시,10분
823,2023-06-13,3호선 (하행선),첫차~09시,5분
824,2023-06-13,3호선 (상행선),첫차~09시,5분
825,2023-06-13,4호선 (하행선),첫차~09시,10분
826,2023-06-13,4호선 (상행선),첫차~09시,5분
827,2023-06-14,2호선 (외선),첫차~09시,10분
828,2023-06-14,3호선 (하행선),첫차~09시,10분
829,2023-06-14,3호선 (상행선),첫차~09시,5분
830,2023-06-14,4호선 (하행선),첫차~09시,10분
831,2023-06-14,4호선 (상행선),첫차~09시,10분
832,2023-06-15,2호선 (외선),첫차~09시,10분
833,2023-06-15,3호선 (하행선),첫차~09시,10분
834,2023-06-15,3호선 (상행선),첫차~09시,10분
835,2023-06-16,3호선 (하행선),첫차~09시,10분
836,2023-06-16,3호선 (상행선),첫차~09시,5분
837,2023-06-16,4호선 (하행선),첫차~09시,15분
838,2023-06-16,4호선 (상행선),첫차~09시,10분
839,2023-06-17,3호선 (상행선),첫차~09시,5분
840,2023-06-17,4호선 (하행선),첫차~09시,5분
841,2023-06-17,5호선 (상일동행),09시~18시,5분
842,2023-06-17,5호선 (마천행),09시~18시,5분
843,2023-06-17,6호선 (봉화산행),18시~막차,5분
844,2023-06-19,2호선 (외선),첫차~09시,20분
845,2023-06-19,4호선 (하행선),첫차~09시,10분
846,2023-06-19,4호선 (상행선),첫차~09시,10분
847,2023-06-20,1호선 (하행선),첫차~09시,5분
848,2023-06-20,1호선 (상행선),첫차~09시,5분
849,2023-06-20,2호선 (외선),첫차~09시,15분
850,2023-06-20,3호선 (상행선),첫차~09시,5분
851,2023-06-20,3호선 (하행선),첫차~09시,10분
852,2023-06-20,4호선 (상행선),첫차~09시,5분
853,2023-06-20,4호선 (하행선),첫차~09시,10분
854,2023-06-20,8호선 (암사행),첫차~09시,10분
855,2023-06-20,8호선 (모란행),첫차~09시,10분
856,2023-06-21,1호선 (상행선),첫차~09시,10분
857,2023-06-21,2호선 (외선),09시~18시,10분
858,2023-06-21,2호선 (내선),09시~18시,10분
859,2023-06-21,2호선 (외선),첫차~09시,15분
860,2023-06-21,3호선 (하행선),첫차~09시,5분
861,2023-06-21,3호선 (상행선),첫차~09시,5분
862,2023-06-21,4호선 (하행선),첫차~09시,5분
863,2023-06-21,4호선 (상행선),첫차~09시,5분
864,2023-06-22,1호선 (하행선),첫차~09시,5분
865,2023-06-22,2호선 (외선),첫차~09시,5분
866,2023-06-22,3호선 (하행선),첫차~09시,10분
867,2023-06-22,3호선 (상행선),첫차~09시,5분
868,2023-06-22,4호선 (하행선),09시~18시,5분
869,2023-06-22,4호선 (하행선),첫차~09시,10분
870,2023-06-22,4호선 (상행선),첫차~09시,5분
871,2023-06-23,2호선 (외선),첫차~09시,10분
872,2023-06-23,3호선 (하행선),첫차~09시,10분
873,2023-06-23,3호선 (상행선),첫차~09시,10분
874,2023-06-26,1호선 (하행선),첫차~09시,10분
875,2023-06-26,1호선 (상행선),첫차~09시,10분
876,2023-06-26,2호선 (외선),첫차~09시,5분
877,2023-06-26,3호선 (하행선),첫차~09시,10분
878,2023-06-26,3호선 (상행선),첫차~09시,10분
879,2023-06-26,4호선 (하행선),첫차~09시,15분
880,2023-06-26,4호선 (상행선),첫차~09시,15분
881,2023-06-26,5호선 (방화행),첫차~09시,5분
882,2023-06-27,1호선 (하행선),첫차~09시,10분
883,2023-06-27,3호선 (하행선),첫차~09시,10분
884,2023-06-27,3호선 (상행선),첫차~09시,10분
885,2023-06-28,1호선 (하행선),첫차~09시,5분
886,2023-06-28,1호선 (상행선),첫차~09시,10분
887,2023-06-28,2호선 (외선),첫차~09시,10분
888,2023-06-29,1호선 (하행선),첫차~09시,10분
889,2023-06-29,1호선 (상행선),첫차~09시,5분
890,2023-06-29,2호선 (내선),첫차~09시,5분
891,2023-06-29,2호선 (외선),첫차~09시,20분
892,2023-06-29,4호선 (하행선),09시~18시,10분
893,2023-06-29,7호선 (장암행),첫차~09시,10분
894,2023-06-30,1호선 (하행선),첫차~09시,5분
895,2023-06-30,1호선 (상행선),첫차~09시,5분
896,2023-06-30,2호선 (외선),첫차~09시,10분
897,2023-06-30,3호선 (하행선),첫차~09시,5분
898,2023-06-30,3호선 (상행선),첫차~09시,10분
899,2023-06-30,4호선 (하행선),첫차~09시,10분
900,2023-06-30,4호선 (상행선),첫차~09시,15분
901,2023-07-01,1호선 (하행선),첫차~09시,10분
902,2023-07-03,2호선 (외선),09시~18시,10분
903,2023-07-03,2호선 (내선),09시~18시,10분
904,2023-07-03,3호선 (하행선),첫차~09시,10분
905,2023-07-03,3호선 (상행선),첫차~09시,5분
906,2023-07-03,4호선 (하행선),첫차~09시,15분
907,2023-07-03,4호선 (상행선),첫차~09시,10분
908,2023-07-04,2호선 (외선),첫차~09시,10분
909,2023-07-04,3호선 (하행선),첫차~09시,5분
910,2023-07-04,3호선 (상행선),첫차~09시,5분
911,2023-07-04,4호선 (하행선),첫차~09시,10분
912,2023-07-04,4호선 (상행선),첫차~09시,10분
913,2023-07-05,1호선 (상행선),첫차~09시,10분
914,2023-07-05,2호선 (외선),첫차~09시,10분
915,2023-07-05,5호선 (방화행),첫차~09시,10분
916,2023-07-06,3호선 (상행선),첫차~09시,5분
917,2023-07-06,3호선 (하행선),첫차~09시,10분
918,2023-07-06,4호선 (상행선),첫차~09시,15분
919,2023-07-06,4호선 (하행선),첫차~09시,10분
920,2023-07-06,6호선 (응암순환행),첫차~09시,5분
921,2023-07-07,3호선 (하행선),첫차~09시,10분
922,2023-07-07,3호선 (상행선),첫차~09시,5분
923,2023-07-07,4호선 (하행선),첫차~09시,10분
924,2023-07-07,4호선 (상행선),첫차~09시,10분
925,2023-07-09,7호선 (부천구청행),첫차~09시,5분
926,2023-07-09,7호선 (온수행),첫차~09시,5분
927,2023-07-09,7호선 (장암행),첫차~09시,5분
928,2023-07-10,1호선 (하행선),첫차~09시,5분
929,2023-07-10,1호선 (상행선),첫차~09시,5분
930,2023-07-10,2호선 (외선),첫차~09시,15분
931,2023-07-10,2호선 (내선),첫차~09시,5분
932,2023-07-10,3호선 (상행선),첫차~09시,5분
933,2023-07-10,3호선 (하행선),첫차~09시,10분
934,2023-07-10,4호선 (상행선),첫차~09시,10분
935,2023-07-10,4호선 (하행선),첫차~09시,10분
936,2023-07-11,2호선 (내선),첫차~09시,10분
937,2023-07-11,2호선 (외선),첫차~09시,15분
938,2023-07-11,3호선 (하행선),첫차~09시,10분
939,2023-07-11,3호선 (상행선),첫차~09시,10분
940,2023-07-11,4호선 (하행선),첫차~09시,20분
941,2023-07-11,4호선 (상행선),첫차~09시,10분
942,2023-07-12,1호선 (하행선),첫차~09시,10분
943,2023-07-12,1호선 (상행선),첫차~09시,5분
944,2023-07-12,2호선 (내선),09시~18시,10분
945,2023-07-12,2호선 (외선),첫차~09시,15분
946,2023-07-12,2호선 (내선),첫차~09시,10분
947,2023-07-12,3호선 (하행선),첫차~09시,10분
948,2023-07-12,3호선 (상행선),첫차~09시,10분
949,2023-07-12,4호선 (하행선),첫차~09시,10분
950,2023-07-12,4호선 (상행선),첫차~09시,10분
951,2023-07-13,1호선 (하행선),첫차~09시,10분
952,2023-07-13,1호선 (상행선),첫차~09시,10분
953,2023-07-13,2호선 (외선),첫차~09시,15분
954,2023-07-13,5호선 (마천행),첫차~09시,10분
955,2023-07-13,5호선 (상일동행),첫차~09시,10분
956,2023-07-14,1호선 (하행선),첫차~09시,5분
957,2023-07-14,1호선 (상행선),첫차~09시,10분
958,2023-07-14,2호선 (외선),첫차~09시,20분
959,2023-07-14,2호선 (내선),첫차~09시,10분
960,2023-07-14,3호선 (상행선),첫차~09시,5분
961,2023-07-14,3호선 (하행선),첫차~09시,10분
962,2023-07-14,4호선 (상행선),첫차~09시,15분
963,2023-07-14,4호선 (하행선),첫차~09시,15분
964,2023-07-14,7호선 (장암행),첫차~09시,5분
965,2023-07-14,7호선 (부천구청행),첫차~09시,5분
966,2023-07-15,1호선 (하행선),09시~18시,20분
967,2023-07-15,3호선 (하행선),첫차~09시,15분
968,2023-07-15,3호선 (상행선),첫차~09시,20분
969,2023-07-15,4호선 (하행선),첫차~09시,5분
970,2023-07-15,4호선 (상행선),첫차~09시,5분
971,2023-07-17,1호선 (하행선),첫차~09시,5분
972,2023-07-17,1호선 (상행선),첫차~09시,10분
973,2023-07-17,2호선 (외선),첫차~09시,10분
974,2023-07-17,3호선 (하행선),첫차~09시,10분
975,2023-07-17,3호선 (상행선),첫차~09시,10분
976,2023-07-17,4호선 (하행선),첫차~09시,15분
977,2023-07-17,4호선 (상행선),첫차~09시,10분
978,2023-07-17,5호선 (방화행),첫차~09시,10분
979,2023-07-17,7호선 (부천구청행),첫차~09시,5분
980,2023-07-17,7호선 (온수행),첫차~09시,5분
981,2023-07-17,7호선 (장암행),첫차~09시,5분
982,2023-07-17,7호선 (부천구청행),09시~18시,5분
983,2023-07-17,7호선 (온수행),09시~18시,5분
984,2023-07-17,7호선 (장암행),09시~18시,5분
985,2023-07-18,1호선 (하행선),첫차~09시,5분
986,2023-07-18,1호선 (상행선),첫차~09시,10분
987,2023-07-18,2호선 (외선),첫차~09시,10분
988,2023-07-18,3호선 (상행선),첫차~09시,5분
989,2023-07-18,3호선 (하행선),첫차~09시,10분
990,2023-07-18,4호선 (상행선),첫차~09시,15분
991,2023-07-18,4호선 (하행선),첫차~09시,15분
992,2023-07-18,7호선 (온수행),09시~18시,10분
993,2023-07-19,3호선 (하행선),첫차~09시,5분
994,2023-07-19,3호선 (상행선),첫차~09시,5분
995,2023-07-19,4호선 (하행선),첫차~09시,10분
996,2023-07-19,4호선 (상행선),첫차~09시,15분
997,2023-07-20,1호선 (상행선),첫차~09시,5분
998,2023-07-20,2호선 (외선),첫차~09시,10분
999,2023-07-20,3호선 (하행선),첫차~09시,10분
1000,2023-07-20,3호선 (상행선),첫차~09시,10분
1001,2023-07-20,4호선 (하행선),첫차~09시,10분
1002,2023-07-20,4호선 (상행선),첫차~09시,10분
1003,2023-07-20,7호선 (장암행),09시~18시,5분
1004,2023-07-21,1호선 (하행선),18시~막차,20분
1005,2023-07-21,1호선 (상행선),18시~막차,20분
1006,2023-07-21,2호선 (외선),18시~막차,5분
1007,2023-07-21,2호선 (내선),18시~막차,20분
1008,2023-07-21,3호선 (하행선),첫차~09시,5분
1009,2023-07-21,3호선 (상행선),첫차~09시,10분
1010,2023-07-21,4호선 (하행선),09시~18시,15분
1011,2023-07-21,4호선 (하행선),첫차~09시,15분
1012,2023-07-21,4호선 (상행선),첫차~09시,15분
1013,2023-07-21,7호선 (부천구청행),첫차~09시,5분
1014,2023-07-21,7호선 (장암행),첫차~09시,5분
1015,2023-07-22,3호선 (상행선),첫차~09시,5분
1016,2023-07-22,3호선 (하행선),첫차~09시,5분
1017,2023-07-22,4호선 (상행선),첫차~09시,5분
1018,2023-07-22,4호선 (하행선),첫차~09시,5분
1019,2023-07-23,3호선 (하행선),첫차~09시,5분
1020,2023-07-23,4호선 (하행선),첫차~09시,5분
1021,2023-07-23,4호선 (상행선),첫차~09시,5분
1022,2023-07-23,8호선 (암사행),09시~18시,20분
1023,2023-07-23,8호선 (모란행),09시~18시,20분
1024,2023-07-24,1호선 (하행선),첫차~09시,10분
1025,2023-07-24,1호선 (상행선),첫차~09시,10분
1026,2023-07-24,2호선 (외선),첫차~09시,10분
1027,2023-07-24,3호선 (하행선),첫차~09시,10분
1028,2023-07-24,3호선 (상행선),첫차~09시,10분
1029,2023-07-24,4호선 (하행선),첫차~09시,15분
1030,2023-07-24,4호선 (상행선),첫차~09시,15분
1031,2023-07-25,2호선 (외선),첫차~09시,10분
1032,2023-07-25,3호선 (하행선),09시~18시,10분
1033,2023-07-25,3호선 (상행선),09시~18시,15분
1034,2023-07-25,3호선 (하행선),첫차~09시,10분
1035,2023-07-25,3호선 (상행선),첫차~09시,10분
1036,2023-07-25,4호선 (하행선),첫차~09시,10분
1037,2023-07-25,4호선 (상행선),첫차~09시,10분
1038,2023-07-26,1호선 (하행선),첫차~09시,30분 이상
1039,2023-07-26,1호선 (상행선),첫차~09시,25분
1040,2023-07-26,3호선 (상행선),첫차~09시,10분
1041,2023-07-26,3호선 (하행선),첫차~09시,10분
1042,2023-07-26,4호선 (상행선),첫차~09시,10분
1043,2023-07-26,4호선 (하행선),첫차~09시,10분
1044,2023-07-27,3호선 (하행선),첫차~09시,10분
1045,2023-07-27,3호선 (상행선),첫차~09시,5분
1046,2023-07-27,4호선 (하행선),첫차~09시,10분
1047,2023-07-27,4호선 (상행선),첫차~09시,15분
1048,2023-07-28,1호선 (하행선),첫차~09시,10분
1049,2023-07-28,1호선 (상행선),첫차~09시,10분
1050,2023-07-28,2호선 (외선),첫차~09시,10분
1051,2023-07-28,3호선 (하행선),첫차~09시,10분
1052,2023-07-28,3호선 (상행선),첫차~09시,10분
1053,2023-07-28,4호선 (하행선),첫차~09시,10분
1054,2023-07-28,4호선 (상행선),첫차~09시,15분
1055,2023-07-30,3호선 (하행선),첫차~09시,5분
1056,2023-07-30,3호선 (상행선),첫차~09시,5분
1057,2023-07-30,4호선 (상행선),첫차~09시,10분
1058,2023-07-30,4호선 (하행선),첫차~09시,5분
1059,2023-08-01,1호선 (하행선),첫차~09시,5분
1060,2023-08-01,1호선 (상행선),첫차~09시,5분
1061,2023-08-01,2호선 (외선),첫차~09시,5분
1062,2023-08-01,2호선 (내선),첫차~09시,5분
1063,2023-08-01,3호선 (하행선),첫차~09시,10분
1064,2023-08-01,3호선 (상행선),첫차~09시,10분
1065,2023-08-01,4호선 (하행선),첫차~09시,10분
1066,2023-08-01,4호선 (상행선),첫차~09시,10분
1067,2023-08-02,3호선 (하행선),첫차~09시,10분
1068,2023-08-02,3호선 (상행선),첫차~09시,10분
1069,2023-08-02,4호선 (하행선),첫차~09시,10분
1070,2023-08-02,4호선 (상행선),첫차~09시,10분
1071,2023-08-02,7호선 (온수행),첫차~09시,25분
1072,2023-08-02,7호선 (장암행),첫차~09시,25분
1073,2023-08-03,2호선 (외선),첫차~09시,5분
1074,2023-08-03,3호선 (상행선),첫차~09시,10분
1075,2023-08-03,3호선 (하행선),첫차~09시,10분
1076,2023-08-03,4호선 (상행선),첫차~09시,10분
1077,2023-08-03,4호선 (하행선),첫차~09시,15분
1078,2023-08-04,2호선 (외선),첫차~09시,10분
1079,2023-08-04,3호선 (하행선),첫차~09시,10분
1080,2023-08-04,3호선 (상행선),첫차~09시,5분
1081,2023-08-04,4호선 (하행선),첫차~09시,5분
1082,2023-08-04,4호선 (상행선),첫차~09시,10분
1083,2023-08-06,4호선 (하행선),18시~막차,10분
1084,2023-08-06,4호선 (상행선),18시~막차,15분
1085,2023-08-07,3호선 (상행선),첫차~09시,10분
1086,2023-08-07,3호선 (하행선),첫차~09시,5분
1087,2023-08-07,4호선 (상행선),첫차~09시,15분
1088,2023-08-07,4호선 (하행선),첫차~09시,10분
1089,2023-08-08,1호선 (하행선),첫차~09시,5분
1090,2023-08-08,1호선 (상행선),첫차~09시,5분
1091,2023-08-08,2호선 (외선),첫차~09시,10분
1092,2023-08-08,3호선 (하행선),첫차~09시,5분
1093,2023-08-08,3호선 (상행선),첫차~09시,5분
1094,2023-08-08,4호선 (하행선),첫차~09시,10분
1095,2023-08-08,4호선 (상행선),첫차~09시,10분
1096,2023-08-09,3호선 (하행선),첫차~09시,10분
1097,2023-08-09,3호선 (상행선),첫차~09시,10분
1098,2023-08-09,4호선 (하행선),첫차~09시,10분
1099,2023-08-09,4호선 (상행선),첫차~09시,10분
1100,2023-08-10,3호선 (하행선),첫차~09시,10분
1101,2023-08-10,3호선 (상행선),첫차~09시,10분
1102,2023-08-10,4호선 (하행선),첫차~09시,10분
1103,2023-08-10,4호선 (상행선),첫차~09시,15분
1104,2023-08-11,1호선 (하행선),첫차~09시,10분
1105,2023-08-11,1호선 (상행선),첫차~09시,5분
1106,2023-08-11,2호선 (외선),첫차~09시,10분
1107,2023-08-11,3호선 (상행선),첫차~09시,10분
1108,2023-08-11,3호선 (하행선),첫차~09시,10분
1109,2023-08-11,4호선 (상행선),첫차~09시,10분
1110,2023-08-11,4호선 (하행선),첫차~09시,15분
1111,2023-08-12,3호선 (하행선),첫차~09시,5분
1112,2023-08-14,2호선 (외선),첫차~09시,5분
1113,2023-08-14,3호선 (하행선),첫차~09시,10분
1114,2023-08-14,3호선 (상행선),첫차~09시,5분
1115,2023-08-14,4호선 (하행선),첫차~09시,10분
1116,2023-08-14,4호선 (상행선),첫차~09시,10분
1117,2023-08-14,5호선 (방화행),09시~18시,5분
1118,2023-08-15,3호선 (상행선),첫차~09시,5분
1119,2023-08-15,3호선 (하행선),첫차~09시,5분
1120,2023-08-15,4호선 (상행선),첫차~09시,5분
1121,2023-08-15,4호선 (하행선),첫차~09시,5분
1122,2023-08-15,7호선 (부천구청행),첫차~09시,10분
1123,2023-08-16,1호선 (하행선),첫차~09시,5분
1124,2023-08-16,1호선 (상행선),첫차~09시,5분
1125,2023-08-16,2호선 (외선),첫차~09시,10분
1126,2023-08-16,2호선 (내선),첫차~09시,10분
1127,2023-08-16,3호선 (하행선),첫차~09시,10분
1128,2023-08-16,3호선 (상행선),첫차~09시,10분
1129,2023-08-16,4호선 (하행선),첫차~09시,5분
1130,2023-08-16,4호선 (상행선),첫차~09시,10분
1131,2023-08-16,7호선 (장암행),첫차~09시,10분
1132,2023-08-17,2호선 (외선),09시~18시,10분
1133,2023-08-17,2호선 (내선),09시~18시,5분
1134,2023-08-17,2호선 (외선),첫차~09시,15분
1135,2023-08-17,3호선 (하행선),첫차~09시,10분
1136,2023-08-17,3호선 (상행선),첫차~09시,5분
1137,2023-08-17,4호선 (하행선),첫차~09시,10분
1138,2023-08-17,4호선 (상행선),첫차~09시,10분
1139,2023-08-17,7호선 (온수행),첫차~09시,10분
1140,2023-08-17,7호선 (온수행),09시~18시,10분
1141,2023-08-18,1호선 (하행선),첫차~09시,5분
1142,2023-08-18,1호선 (상행선),첫차~09시,10분
1143,2023-08-18,2호선 (외선),첫차~09시,10분
1144,2023-08-20,3호선 (하행선),첫차~09시,5분
1145,2023-08-20,3호선 (상행선),첫차~09시,5분
1146,2023-08-20,4호선 (하행선),첫차~09시,5분
1147,2023-08-20,4호선 (상행선),첫차~09시,5분
1148,2023-08-21,1호선 (하행선),첫차~09시,10분
1149,2023-08-21,1호선 (상행선),첫차~09시,15분
1150,2023-08-21,2호선 (외선),첫차~09시,5분
1151,2023-08-21,3호선 (하행선),첫차~09시,10분
1152,2023-08-21,3호선 (상행선),첫차~09시,10분
1153,2023-08-21,4호선 (하행선),첫차~09시,10분
1154,2023-08-21,4호선 (상행선),첫차~09시,10분
1155,2023-08-22,5호선 (방화행),첫차~09시,5분
1156,2023-08-22,7호선 (부천구청행),첫차~09시,10분
1157,2023-08-22,7호선 (온수행),첫차~09시,10분
1158,2023-08-22,7호선 (장암행),첫차~09시,10분
1159,2023-08-23,3호선 (하행선),09시~18시,10분
1160,2023-08-23,3호선 (상행선),첫차~09시,10분
1161,2023-08-23,3호선 (하행선),첫차~09시,10분
1162,2023-08-23,4호선 (상행선),첫차~09시,10분
1163,2023-08-23,4호선 (하행선),첫차~09시,10분
1164,2023-08-23,7호선 (부천구청행),첫차~09시,5분
1165,2023-08-23,7호선 (온수행),첫차~09시,5분
1166,2023-08-24,1호선 (상행선),첫차~09시,25분
1167,2023-08-24,1호선 (하행선),첫차~09시,15분
1168,2023-08-24,2호선 (외선),첫차~09시,10분
1169,2023-08-24,3호선 (하행선),첫차~09시,10분
1170,2023-08-24,3호선 (상행선),첫차~09시,10분
1171,2023-08-24,4호선 (하행선),첫차~09시,10분
1172,2023-08-24,4호선 (상행선),첫차~09시,10분
1173,2023-08-25,1호선 (하행선),첫차~09시,10분
1174,2023-08-25,1호선 (상행선),첫차~09시,25분
1175,2023-08-25,2호선 (외선),첫차~09시,10분
1176,2023-08-25,2호선 (내선),첫차~09시,5분
1177,2023-08-25,3호선 (하행선),첫차~09시,10분
1178,2023-08-25,3호선 (상행선),첫차~09시,10분
1179,2023-08-25,4호선 (하행선),첫차~09시,10분
1180,2023-08-25,4호선 (상행선),첫차~09시,10분
1181,2023-08-26,2호선 (외선),09시~18시,10분
1182,2023-08-26,2호선 (내선),09시~18시,5분
1183,2023-08-28,1호선 (하행선),첫차~09시,15분
1184,2023-08-28,1호선 (상행선),첫차~09시,25분
1185,2023-08-28,2호선 (내선),첫차~09시,5분
1186,2023-08-28,2호선 (외선),첫차~09시,15분
1187,2023-08-28,3호선 (하행선),첫차~09시,10분
1188,2023-08-28,3호선 (상행선),첫차~09시,10분
1189,2023-08-28,4호선 (하행선),첫차~09시,10분
1190,2023-08-28,4호선 (상행선),첫차~09시,15분
1191,2023-08-29,1호선 (하행선),첫차~09시,15분
1192,2023-08-29,1호선 (상행선),첫차~09시,20분
1193,2023-08-29,2호선 (외선),첫차~09시,10분
1194,2023-08-29,3호선 (하행선),첫차~09시,10분
1195,2023-08-29,3호선 (상행선),첫차~09시,10분
1196,2023-08-29,4호선 (하행선),첫차~09시,15분
1197,2023-08-29,4호선 (상행선),첫차~09시,10분
1198,2023-08-29,7호선 (장암행),09시~18시,5분
1199,2023-08-29,7호선 (부천구청행),09시~18시,10분
1200,2023-08-29,7호선 (부천구청행),첫차~09시,10분
1201,2023-08-29,7호선 (온수행),첫차~09시,10분
1202,2023-08-30,1호선 (하행선),첫차~09시,15분
1203,2023-08-30,1호선 (상행선),첫차~09시,20분
1204,2023-08-30,2호선 (내선),첫차~09시,5분
1205,2023-08-30,2호선 (외선),첫차~09시,10분
1206,2023-08-30,3호선 (상행선),09시~18시,15분
1207,2023-08-30,3호선 (하행선),09시~18시,20분
1208,2023-08-31,1호선 (하행선),첫차~09시,15분
1209,2023-08-31,1호선 (상행선),첫차~09시,20분
1210,2023-08-31,2호선 (내선),첫차~09시,5분
1211,2023-08-31,2호선 (외선),첫차~09시,10분
1212,2023-08-31,3호선 (상행선),첫차~09시,10분
1213,2023-08-31,3호선 (하행선),첫차~09시,10분
1214,2023-08-31,4호선 (상행선),첫차~09시,20분
1215,2023-08-31,4호선 (하행선),첫차~09시,10분
