번호,지연일자,노선,지연시간대,최대지연시간
645,2023-12-16,2호선 (외선),첫차~09시,5분
646,2023-12-19,1호선 (상행선),첫차~09시,10분
647,2023-12-19,2호선 (외선),첫차~09시,10분
648,2023-12-19,2호선 (내선),첫차~09시,5분
649,2023-12-19,1호선 (하행선),첫차~09시,10분
650,2023-12-19,3호선 (상행선),첫차~09시,10분
651,2023-12-19,4호선 (하행선),첫차~09시,10분
652,2023-12-19,4호선 (상행선),첫차~09시,10분
653,2023-12-19,3호선 (하행선),첫차~09시,10분
654,2023-12-19,7호선 (온수행),첫차~09시,10분
655,2023-12-19,7호선 (부천구청행),09시~18시,10분
656,2023-12-19,7호선 (부천구청행),첫차~09시,10분
657,2023-12-19,7호선 (온수행),09시~18시,10분
658,2023-12-20,2호선 (외선),첫차~09시,15분
659,2023-12-20,1호선 (하행선),첫차~09시,10분
660,2023-12-20,1호선 (상행선),첫차~09시,15분
661,2023-12-20,5호선 (마천행),첫차~09시,5분
662,2023-12-20,5호선 (상일동행),첫차~09시,5분
663,2023-12-19,5호선 (방화행),18시~막차,10분
664,2023-12-20,7호선 (부천구청행),첫차~09시,5분
665,2023-12-20,7호선 (온수행),첫차~09시,5분
666,2023-12-20,7호선 (장암행),첫차~09시,5분
667,2023-12-20,7호선 (부천구청행),09시~18시,10분
668,2023-12-20,7호선 (온수행),09시~18시,10분
669,2023-12-20,7호선 (장암행),09시~18시,10분
670,2023-12-20,3호선 (하행선),첫차~09시,15분
671,2023-12-20,3호선 (상행선),첫차~09시,10분
672,2023-12-20,4호선 (상행선),첫차~09시,15분
673,2023-12-20,4호선 (하행선),첫차~09시,15분
674,2023-12-21,7호선 (부천구청행),첫차~09시,15분
675,2023-12-21,7호선 (온수행),첫차~09시,15분
676,2023-12-21,1호선 (상행선),첫차~09시,20분
677,2023-12-21,2호선 (내선),첫차~09시,5분
678,2023-12-21,2호선 (외선),첫차~09시,20분
679,2023-12-21,1호선 (하행선),첫차~09시,20분
680,2023-12-21,4호선 (하행선),첫차~09시,10분
681,2023-12-21,3호선 (상행선),첫차~09시,10분
682,2023-12-21,3호선 (하행선),첫차~09시,10분
683,2023-12-21,4호선 (상행선),첫차~09시,5분
684,2023-12-21,7호선 (장암행),09시~18시,5분
685,2023-12-21,7호선 (장암행),첫차~09시,10분
686,2023-12-21,7호선 (부천구청행),09시~18시,10분
687,2023-12-21,7호선 (온수행),09시~18시,10분
688,2023-12-22,2호선 (내선),첫차~09시,10분
689,2023-12-22,2호선 (외선),첫차~09시,15분
690,2023-12-22,1호선 (하행선),첫차~09시,20분
691,2023-12-22,1호선 (상행선),첫차~09시,10분
692,2023-12-22,4호선 (하행선),첫차~09시,30분 이상
693,2023-12-22,4호선 (상행선),첫차~09시,10분
694,2023-12-22,3호선 (하행선),첫차~09시,10분
695,2023-12-22,3호선 (상행선),첫차~09시,10분
696,2023-12-22,6호선 (봉화산행),첫차~09시,10분
697,2023-12-22,6호선 (응암순환행),첫차~09시,10분
698,2023-12-22,7호선 (부천구청행),첫차~09시,15분
699,2023-12-22,7호선 (온수행),첫차~09시,15분
700,2023-12-22,7호선 (장암행),첫차~09시,15분
701,2023-12-22,6호선 (봉화산행),09시~18시,5분
702,2023-12-22,6호선 (응암순환행),09시~18시,5분
703,2023-12-22,7호선 (부천구청행),09시~18시,10분
704,2023-12-22,7호선 (온수행),09시~18시,10분
705,2023-12-22,7호선 (장암행),09시~18시,10분
706,2023-12-22,5호선 (방화행),18시~막차,15분
707,2023-12-22,5호선 (상일동행),18시~막차,15분
708,2023-12-26,4호선 (하행선),첫차~09시,10분
709,2023-12-26,4호선 (상행선),첫차~09시,10분
710,2023-12-26,3호선 (하행선),첫차~09시,5분
711,2023-12-26,3호선 (상행선),첫차~09시,5분
712,2023-12-27,2호선 (내선),첫차~09시,5분
713,2023-12-27,2호선 (외선),첫차~09시,10분
714,2023-12-27,1호선 (하행선),첫차~09시,10분
715,2023-12-27,1호선 (상행선),첫차~09시,20분
716,2023-12-27,4호선 (하행선),첫차~09시,15분
717,2023-12-27,4호선 (상행선),첫차~09시,15분
718,2023-12-27,3호선 (하행선),첫차~09시,10분
719,2023-12-27,3호선 (상행선),첫차~09시,10분
720,2023-12-27,7호선 (부천구청행),첫차~09시,5분
721,2023-12-27,7호선 (온수행),첫차~09시,5분
722,2023-12-27,7호선 (장암행),첫차~09시,5분
723,2023-12-27,5호선 (마천행),09시~18시,20분
724,2023-12-27,5호선 (상일동행),09시~18시,20분
725,2023-12-28,7호선 (장암행),첫차~09시,5분
726,2023-12-28,7호선 (부천구청행),첫차~09시,5분
727,2023-12-28,7호선 (온수행),첫차~09시,5분
728,2023-12-28,3호선 (상행선),첫차~09시,5분
729,2023-12-28,4호선 (상행선),첫차~09시,10분
730,2023-12-28,3호선 (하행선),첫차~09시,10분
731,2023-12-28,4호선 (하행선),첫차~09시,10분
732,2023-12-29,7호선 (온수행),첫차~09시,15분
733,2023-12-29,1호선 (상행선),첫차~09시,5분
734,2023-12-29,2호선 (외선),첫차~09시,15분
735,2023-12-29,2호선 (내선),첫차~09시,5분
736,2023-12-29,1호선 (하행선),첫차~09시,5분
737,2023-12-29,7호선 (장암행),09시~18시,15분
738,2023-12-29,7호선 (장암행),첫차~09시,5분
739,2023-12-29,7호선 (부천구청행),09시~18시,10분
740,2023-12-30,2호선 (외선),09시~18시,15분
741,2023-12-30,2호선 (내선),09시~18시,10분
742,2024-01-02,2호선 (외선),첫차~09시,15분
743,2024-01-02,2호선 (내선),첫차~09시,10분
744,2024-01-02,1호선 (하행선),첫차~09시,5분
745,2024-01-02,1호선 (상행선),첫차~09시,10분
746,2024-01-02,4호선 (하행선),첫차~09시,10분
747,2024-01-02,3호선 (하행선),첫차~09시,10분
748,2024-01-02,4호선 (상행선),첫차~09시,10분
749,2024-01-02,3호선 (상행선),첫차~09시,5분
750,2023-12-29,7호선 (부천구청행),첫차~09시,10분
751,2024-01-03,2호선 (외선),첫차~09시,20분
752,2024-01-03,1호선 (하행선),첫차~09시,5분
753,2024-01-03,2호선 (내선),첫차~09시,5분
754,2024-01-03,1호선 (상행선),첫차~09시,10분
755,2024-01-03,3호선 (하행선),첫차~09시,15분
756,2024-01-03,3호선 (상행선),첫차~09시,5분
757,2024-01-03,4호선 (하행선),첫차~09시,10분
758,2024-01-03,4호선 (상행선),첫차~09시,10분
759,2024-01-03,7호선 (부천구청행),09시~18시,10분
760,2024-01-04,3호선 (하행선),첫차~09시,10분
761,2024-01-04,3호선 (상행선),첫차~09시,10분
762,2024-01-04,4호선 (하행선),첫차~09시,15분
763,2024-01-04,4호선 (상행선),첫차~09시,10분
764,2024-01-04,7호선 (부천구청행),첫차~09시,5분
765,2024-01-04,7호선 (장암행),첫차~09시,5분
766,2024-01-05,4호선 (하행선),첫차~09시,10분
767,2024-01-05,4호선 (상행선),첫차~09시,10분
768,2024-01-05,3호선 (하행선),첫차~09시,10분
769,2024-01-05,3호선 (상행선),첫차~09시,10분
770,2024-01-05,2호선 (외선),18시~막차,10분
771,2024-01-07,3호선 (상행선),첫차~09시,5분
772,2024-01-08,1호선 (하행선),첫차~09시,5분
773,2024-01-08,1호선 (상행선),첫차~09시,10분
774,2024-01-08,2호선 (외선),첫차~09시,10분
775,2024-01-08,2호선 (내선),첫차~09시,5분
776,2024-01-08,3호선 (상행선),첫차~09시,20분
777,2024-01-08,4호선 (하행선),첫차~09시,20분
778,2024-01-08,4호선 (상행선),첫차~09시,15분
779,2024-01-08,3호선 (하행선),첫차~09시,15분
780,2024-01-08,7호선 (온수행),첫차~09시,10분
781,2024-01-08,7호선 (부천구청행),09시~18시,10분
782,2024-01-08,7호선 (온수행),09시~18시,10분
783,2024-01-08,7호선 (부천구청행),첫차~09시,10분
784,2024-01-09,3호선 (상행선),첫차~09시,5분
785,2024-01-09,4호선 (하행선),첫차~09시,10분
786,2024-01-09,4호선 (상행선),첫차~09시,10분
787,2024-01-09,2호선 (내선),첫차~09시,5분
788,2024-01-09,3호선 (하행선),첫차~09시,10분
789,2024-01-09,2호선 (외선),첫차~09시,10분
790,2024-01-09,5호선 (방화행),첫차~09시,15분
791,2024-01-09,5호선 (마천행),첫차~09시,15분
792,2024-01-09,5호선 (상일동행),첫차~09시,15분
793,2024-01-10,3호선 (하행선),첫차~09시,15분
794,2024-01-10,4호선 (상행선),첫차~09시,10분
795,2024-01-10,4호선 (하행선),첫차~09시,25분
796,2024-01-10,3호선 (상행선),첫차~09시,10분
797,2024-01-10,2호선 (외선),첫차~09시,15분
798,2024-01-10,2호선 (내선),첫차~09시,5분
799,2024-01-11,3호선 (하행선),첫차~09시,15분
800,2024-01-11,3호선 (상행선),첫차~09시,10분
801,2024-01-11,4호선 (하행선),첫차~09시,15분
802,2024-01-11,4호선 (상행선),첫차~09시,10분
803,2024-01-11,2호선 (내선),첫차~09시,5분
804,2024-01-11,2호선 (외선),첫차~09시,15분
805,2024-01-12,1호선 (하행선),첫차~09시,5분
806,2024-01-12,1호선 (상행선),첫차~09시,5분
807,2024-01-12,2호선 (외선),첫차~09시,10분
808,2024-01-12,4호선 (상행선),첫차~09시,10분
809,2024-01-12,3호선 (하행선),첫차~09시,10분
810,2024-01-12,3호선 (상행선),첫차~09시,10분
811,2024-01-12,4호선 (하행선),첫차~09시,15분
812,2024-01-12,5호선 (방화행),09시~18시,5분
813,2024-01-12,5호선 (마천행),09시~18시,5분
814,2024-01-12,1호선 (상행선),09시~18시,5분
815,2024-01-12,1호선 (하행선),09시~18시,5분
816,2024-01-12,4호선 (하행선),09시~18시,20분
817,2024-01-14,3호선 (하행선),첫차~09시,5분
818,2024-01-14,3호선 (상행선),첫차~09시,5분
819,2024-01-14,4호선 (상행선),첫차~09시,5분
820,2024-01-14,4호선 (하행선),첫차~09시,5분
821,2024-01-15,5호선 (방화행),첫차~09시,10분
822,2024-01-15,4호선 (하행선),첫차~09시,15분
823,2024-01-15,4호선 (상행선),첫차~09시,10분
824,2024-01-15,3호선 (하행선),첫차~09시,10분
825,2024-01-15,3호선 (상행선),첫차~09시,5분
826,2024-01-12,6호선 (봉화산행),첫차~09시,5분
827,2024-01-15,7호선 (부천구청행),첫차~09시,5분
828,2024-01-15,7호선 (온수행),첫차~09시,5분
829,2024-01-16,5호선 (방화행),첫차~09시,5분
830,2024-01-16,1호선 (상행선),첫차~09시,10분
831,2024-01-16,2호선 (외선),첫차~09시,10분
832,2024-01-16,1호선 (하행선),첫차~09시,5분
833,2024-01-16,2호선 (내선),첫차~09시,5분
834,2024-01-14,5호선 (방화행),09시~18시,5분
835,2024-01-16,5호선 (상일동행),첫차~09시,5분
836,2024-01-16,5호선 (마천행),첫차~09시,5분
837,2024-01-16,4호선 (하행선),첫차~09시,15분
838,2024-01-16,4호선 (상행선),첫차~09시,10분
839,2024-01-16,3호선 (하행선),첫차~09시,15분
840,2024-01-16,3호선 (상행선),첫차~09시,10분
841,2024-01-17,1호선 (하행선),첫차~09시,15분
842,2024-01-17,1호선 (상행선),첫차~09시,5분
843,2024-01-17,2호선 (외선),첫차~09시,15분
844,2024-01-15,2호선 (외선),첫차~09시,10분
845,2024-01-18,5호선 (방화행),첫차~09시,10분
846,2024-01-18,5호선 (마천행),첫차~09시,5분
847,2024-01-18,5호선 (상일동행),첫차~09시,5분
848,2024-01-18,1호선 (상행선),첫차~09시,5분
849,2024-01-18,2호선 (외선),첫차~09시,10분
850,2024-01-18,1호선 (하행선),첫차~09시,5분
851,2024-01-18,3호선 (상행선),첫차~09시,5분
852,2024-01-18,3호선 (하행선),첫차~09시,5분
853,2024-01-18,4호선 (상행선),첫차~09시,10분
854,2024-01-18,4호선 (하행선),첫차~09시,15분
855,2024-01-19,4호선 (상행선),첫차~09시,15분
856,2024-01-19,3호선 (하행선),첫차~09시,15분
857,2024-01-19,3호선 (상행선),첫차~09시,10분
858,2024-01-19,4호선 (하행선),첫차~09시,10분
859,2024-01-10,7호선 (부천구청행),09시~18시,5분
860,2023-12-11,7호선 (부천구청행),09시~18시,5분
861,2023-12-23,7호선 (부천구청행),09시~18시,5분
862,2023-12-14,7호선 (부천구청행),09시~18시,5분
863,2023-12-27,7호선 (부천구청행),09시~18시,5분
864,2024-01-22,7호선 (부천구청행),첫차~09시,10분
865,2024-01-22,7호선 (장암행),첫차~09시,5분
866,2024-01-22,7호선 (온수행),첫차~09시,10분
867,2024-01-22,2호선 (외선),첫차~09시,10분
868,2024-01-22,3호선 (상행선),첫차~09시,10분
869,2024-01-22,3호선 (하행선),첫차~09시,10분
870,2024-01-22,4호선 (상행선),첫차~09시,25분
871,2024-01-22,4호선 (하행선),첫차~09시,15분
872,2024-01-23,2호선 (외선),첫차~09시,15분
873,2024-01-23,3호선 (하행선),첫차~09시,10분
874,2024-01-23,3호선 (상행선),첫차~09시,5분
875,2024-01-23,4호선 (하행선),첫차~09시,25분
876,2024-01-23,4호선 (상행선),첫차~09시,10분
877,2024-01-23,7호선 (장암행),첫차~09시,5분
878,2024-01-23,6호선 (응암순환행),첫차~09시,5분
879,2024-01-23,7호선 (부천구청행),첫차~09시,5분
880,2024-01-23,7호선 (온수행),첫차~09시,5분
881,2024-01-23,6호선 (봉화산행),첫차~09시,5분
882,2024-01-24,5호선 (방화행),첫차~09시,5분
883,2024-01-24,4호선 (상행선),첫차~09시,15분
884,2024-01-24,3호선 (하행선),첫차~09시,10분
885,2024-01-24,3호선 (상행선),첫차~09시,5분
886,2024-01-24,4호선 (하행선),첫차~09시,15분
887,2024-01-24,2호선 (외선),첫차~09시,25분
888,2024-01-24,2호선 (내선),첫차~09시,15분
889,2024-01-24,5호선 (방화행),09시~18시,10분
890,2024-01-24,7호선 (온수행),첫차~09시,10분
891,2024-01-24,7호선 (부천구청행),09시~18시,10분
892,2024-01-24,7호선 (온수행),09시~18시,10분
893,2024-01-24,7호선 (부천구청행),첫차~09시,10분
894,2024-01-25,2호선 (외선),첫차~09시,15분
895,2024-01-25,4호선 (하행선),첫차~09시,10분
896,2024-01-25,4호선 (상행선),첫차~09시,10분
897,2024-01-25,3호선 (하행선),첫차~09시,5분
898,2024-01-25,3호선 (상행선),첫차~09시,5분
899,2024-01-25,1호선 (하행선),첫차~09시,10분
900,2024-01-25,1호선 (상행선),첫차~09시,20분
901,2024-01-25,5호선 (상일동행),18시~막차,5분
902,2024-01-25,5호선 (방화행),18시~막차,5분
903,2024-01-25,5호선 (마천행),18시~막차,5분
904,2024-01-26,7호선 (장암행),첫차~09시,10분
905,2024-01-26,7호선 (부천구청행),첫차~09시,5분
906,2024-01-26,4호선 (상행선),첫차~09시,15분
907,2024-01-26,4호선 (하행선),첫차~09시,10분
908,2024-01-26,3호선 (상행선),첫차~09시,5분
909,2024-01-26,3호선 (하행선),첫차~09시,5분
910,2024-01-26,7호선 (온수행),09시~18시,10분
911,2024-01-27,3호선 (상행선),첫차~09시,5분
912,2024-01-28,5호선 (마천행),09시~18시,5분
913,2024-01-28,5호선 (상일동행),09시~18시,10분
914,2024-01-29,2호선 (외선),첫차~09시,10분
915,2024-01-26,4호선 (상행선),09시~18시,10분
916,2024-01-26,4호선 (하행선),09시~18시,15분
917,2024-01-30,5호선 (마천행),첫차~09시,5분
918,2024-01-30,5호선 (상일동행),첫차~09시,5분
919,2024-01-30,4호선 (상행선),첫차~09시,10분
920,2024-01-30,4호선 (하행선),첫차~09시,15분
921,2024-01-30,3호선 (상행선),첫차~09시,10분
922,2024-01-30,3호선 (하행선),첫차~09시,10분
923,2024-01-23,1호선 (상행선),첫차~09시,20분
924,2024-01-31,3호선 (하행선),첫차~09시,10분
925,2024-01-31,3호선 (상행선),첫차~09시,5분
926,2024-01-31,4호선 (하행선),첫차~09시,10분
927,2024-01-31,4호선 (상행선),첫차~09시,5분
928,2024-01-31,2호선 (외선),09시~18시,10분
929,2024-01-30,2호선 (외선),09시~18시,10분
930,2024-02-01,2호선 (외선),첫차~09시,10분
931,2024-02-01,1호선 (하행선),첫차~09시,5분
932,2024-02-01,1호선 (상행선),첫차~09시,5분
933,2024-02-01,3호선 (상행선),첫차~09시,5분
934,2024-02-01,4호선 (하행선),첫차~09시,10분
935,2024-02-01,4호선 (상행선),첫차~09시,10분
936,2024-02-01,3호선 (하행선),첫차~09시,10분
937,2024-02-02,4호선 (상행선),첫차~09시,10분
938,2024-02-02,4호선 (하행선),첫차~09시,20분
939,2024-02-05,2호선 (외선),첫차~09시,15분
940,2024-02-05,1호선 (하행선),첫차~09시,5분
941,2024-02-05,1호선 (상행선),첫차~09시,10분
942,2024-02-05,7호선 (부천구청행),09시~18시,5분
943,2024-02-05,7호선 (부천구청행),첫차~09시,5분
944,2024-02-05,7호선 (장암행),첫차~09시,5분
945,2024-02-05,4호선 (상행선),첫차~09시,20분
946,2024-02-05,3호선 (하행선),첫차~09시,15분
947,2024-02-05,3호선 (상행선),첫차~09시,15분
948,2024-02-05,4호선 (하행선),첫차~09시,20분
949,2024-02-06,2호선 (외선),첫차~09시,15분
950,2024-02-06,1호선 (하행선),첫차~09시,15분
951,2024-02-06,1호선 (상행선),첫차~09시,15분
952,2024-02-06,3호선 (하행선),첫차~09시,15분
953,2024-02-06,3호선 (상행선),첫차~09시,5분
954,2024-02-06,4호선 (하행선),첫차~09시,10분
955,2024-02-06,4호선 (상행선),첫차~09시,10분
956,2023-12-07,5호선 (방화행),첫차~09시,5분
957,2024-02-07,5호선 (방화행),첫차~09시,5분
958,2024-02-07,3호선 (하행선),첫차~09시,5분
959,2024-02-07,3호선 (상행선),첫차~09시,5분
960,2024-02-07,4호선 (상행선),첫차~09시,15분
961,2024-02-07,4호선 (하행선),첫차~09시,10분
962,2024-02-06,3호선 (상행선),09시~18시,15분
963,2024-02-08,2호선 (외선),첫차~09시,25분
964,2024-02-08,2호선 (내선),첫차~09시,25분
965,2024-02-08,3호선 (하행선),첫차~09시,15분
966,2024-02-08,3호선 (상행선),첫차~09시,5분
967,2024-02-08,4호선 (하행선),첫차~09시,15분
968,2024-02-08,4호선 (상행선),첫차~09시,5분
969,2024-02-13,2호선 (외선),첫차~09시,10분
970,2024-02-13,1호선 (하행선),첫차~09시,10분
971,2024-02-13,1호선 (상행선),첫차~09시,10분
972,2024-02-13,4호선 (상행선),첫차~09시,10분
973,2024-02-13,3호선 (하행선),첫차~09시,10분
974,2024-02-13,3호선 (상행선),첫차~09시,10분
975,2024-02-13,4호선 (하행선),첫차~09시,10분
976,2024-02-13,8호선 (암사행),09시~18시,10분
977,2024-02-13,8호선 (모란행),09시~18시,10분
978,2024-02-12,3호선 (상행선),09시~18시,15분
979,2024-02-12,3호선 (하행선),09시~18시,10분
980,2024-02-14,2호선 (외선),첫차~09시,10분
981,2024-02-15,7호선 (부천구청행),첫차~09시,5분
982,2024-02-15,7호선 (온수행),첫차~09시,5분
983,2024-02-15,4호선 (하행선),첫차~09시,20분
984,2024-02-15,3호선 (상행선),첫차~09시,5분
985,2024-02-15,3호선 (하행선),첫차~09시,5분
986,2024-02-15,4호선 (상행선),첫차~09시,15분
987,2024-02-15,2호선 (외선),첫차~09시,15분
988,2024-02-15,2호선 (내선),첫차~09시,5분
989,2024-02-15,1호선 (하행선),첫차~09시,5분
990,2024-02-15,1호선 (상행선),첫차~09시,5분
991,2024-02-15,7호선 (온수행),09시~18시,10분
992,2024-02-15,7호선 (장암행),09시~18시,10분
993,2024-02-16,2호선 (외선),첫차~09시,10분
994,2024-02-16,3호선 (상행선),첫차~09시,5분
995,2024-02-16,4호선 (하행선),첫차~09시,10분
996,2024-02-16,4호선 (상행선),첫차~09시,10분
997,2024-02-16,3호선 (하행선),첫차~09시,10분
998,2024-02-19,4호선 (상행선),첫차~09시,10분
999,2024-02-19,3호선 (하행선),첫차~09시,15분
1000,2024-02-19,3호선 (상행선),첫차~09시,5분
1001,2024-02-19,4호선 (하행선),첫차~09시,15분
1002,2024-02-19,2호선 (외선),첫차~09시,10분
1003,2024-02-19,1호선 (상행선),첫차~09시,10분
1004,2024-02-19,2호선 (내선),첫차~09시,5분
1005,2024-02-19,1호선 (하행선),첫차~09시,10분
1006,2024-02-19,7호선 (장암행),첫차~09시,5분
1007,2024-02-19,7호선 (부천구청행),첫차~09시,5분
1008,2024-02-19,7호선 (온수행),첫차~09시,5분
1009,2024-02-17,3호선 (하행선),09시~18시,5분
1010,2024-02-20,1호선 (하행선),첫차~09시,5분
1011,2024-02-20,1호선 (상행선),첫차~09시,5분
1012,2024-02-20,2호선 (외선),첫차~09시,10분
1013,2024-02-20,3호선 (하행선),첫차~09시,10분
1014,2024-02-20,3호선 (상행선),첫차~09시,5분
1015,2024-02-20,4호선 (하행선),첫차~09시,10분
1016,2024-02-20,4호선 (상행선),첫차~09시,10분
1017,2024-02-21,2호선 (내선),첫차~09시,5분
1018,2024-02-21,2호선 (외선),첫차~09시,10분
1019,2024-02-21,1호선 (하행선),첫차~09시,5분
1020,2024-02-21,1호선 (상행선),첫차~09시,10분
1021,2024-02-21,4호선 (상행선),첫차~09시,10분
1022,2024-02-21,3호선 (하행선),첫차~09시,10분
1023,2024-02-21,3호선 (상행선),첫차~09시,10분
1024,2024-02-21,4호선 (하행선),첫차~09시,15분
1025,2024-02-22,5호선 (방화행),첫차~09시,20분
1026,2024-02-22,5호선 (마천행),첫차~09시,20분
1027,2024-02-22,5호선 (상일동행),첫차~09시,20분
1028,2024-02-22,7호선 (온수행),첫차~09시,15분
1029,2024-02-22,7호선 (부천구청행),첫차~09시,15분
1030,2024-02-22,7호선 (장암행),첫차~09시,15분
1031,2024-02-22,1호선 (하행선),첫차~09시,15분
1032,2024-02-22,1호선 (상행선),첫차~09시,25분
1033,2024-02-22,2호선 (내선),첫차~09시,25분
1034,2024-02-22,2호선 (외선),첫차~09시,20분
1035,2024-02-22,3호선 (하행선),첫차~09시,20분
1036,2024-02-22,3호선 (상행선),첫차~09시,10분
1037,2024-02-22,4호선 (하행선),첫차~09시,30분 이상
1038,2024-02-22,4호선 (상행선),첫차~09시,20분
1039,2024-02-22,7호선 (부천구청행),09시~18시,15분
1040,2024-02-22,7호선 (온수행),09시~18시,15분
1041,2024-02-22,7호선 (장암행),09시~18시,15분
1042,2024-02-23,3호선 (하행선),첫차~09시,10분
1043,2024-02-23,4호선 (하행선),첫차~09시,15분
1044,2024-02-23,3호선 (상행선),첫차~09시,5분
1045,2024-02-23,4호선 (상행선),첫차~09시,10분
1046,2024-02-24,4호선 (상행선),첫차~09시,5분
1047,2024-02-24,3호선 (하행선),첫차~09시,5분
1048,2024-02-24,3호선 (상행선),첫차~09시,5분
1049,2024-02-24,4호선 (하행선),첫차~09시,5분
1050,2024-02-26,2호선 (외선),첫차~09시,15분
1051,2024-02-26,7호선 (부천구청행),09시~18시,5분
1052,2024-02-27,3호선 (하행선),첫차~09시,10분
1053,2024-02-27,3호선 (상행선),첫차~09시,15분
1054,2024-02-27,4호선 (하행선),첫차~09시,10분
1055,2024-02-27,4호선 (상행선),첫차~09시,15분
1056,2024-02-28,4호선 (하행선),첫차~09시,15분
1057,2024-02-28,4호선 (상행선),첫차~09시,15분
1058,2024-02-28,3호선 (하행선),첫차~09시,10분
1059,2024-02-28,3호선 (상행선),첫차~09시,5분
1060,2024-02-29,2호선 (외선),첫차~09시,5분
1061,2024-02-29,2호선 (내선),첫차~09시,5분
1062,2024-02-29,1호선 (하행선),첫차~09시,10분
1063,2024-02-29,1호선 (상행선),첫차~09시,10분
1064,2024-02-29,4호선 (상행선),첫차~09시,10분
1065,2024-02-29,3호선 (하행선),첫차~09시,10분
1066,2024-02-29,3호선 (상행선),첫차~09시,10분
1067,2024-02-29,4호선 (하행선),첫차~09시,10분
1068,2024-02-28,1호선 (상행선),첫차~09시,15분
1069,2024-02-27,1호선 (하행선),첫차~09시,5분
1070,2024-02-27,1호선 (상행선),첫차~09시,10분
1071,2024-02-29,5호선 (방화행),09시~18시,5분
1072,2024-03-04,2호선 (외선),첫차~09시,5분
1073,2024-03-04,1호선 (하행선),첫차~09시,5분
1074,2024-03-04,1호선 (상행선),첫차~09시,10분
1075,2024-03-04,3호선 (상행선),첫차~09시,10분
1076,2024-03-04,4호선 (하행선),첫차~09시,15분
1077,2024-03-04,4호선 (상행선),첫차~09시,10분
1078,2024-03-04,3호선 (하행선),첫차~09시,10분
1079,2024-03-05,2호선 (외선),첫차~09시,5분
1080,2024-03-06,4호선 (하행선),첫차~09시,15분
1081,2024-03-06,3호선 (상행선),첫차~09시,10분
1082,2024-03-06,3호선 (하행선),첫차~09시,10분
1083,2024-03-06,4호선 (상행선),첫차~09시,10분
1084,2024-03-06,7호선 (부천구청행),09시~18시,10분
1085,2024-03-07,4호선 (상행선),첫차~09시,10분
1086,2024-03-07,3호선 (하행선),첫차~09시,10분
1087,2024-03-07,3호선 (상행선),첫차~09시,5분
1088,2024-03-07,4호선 (하행선),첫차~09시,10분
1089,2024-03-08,2호선 (외선),첫차~09시,5분
1090,2024-03-08,1호선 (하행선),첫차~09시,5분
1091,2024-03-08,1호선 (상행선),첫차~09시,10분
1092,2024-03-08,3호선 (하행선),첫차~09시,10분
1093,2024-03-08,3호선 (상행선),첫차~09시,10분
1094,2024-03-08,4호선 (하행선),첫차~09시,10분
1095,2024-03-08,4호선 (상행선),첫차~09시,10분
1096,2024-03-11,4호선 (하행선),첫차~09시,15분
1097,2024-03-11,4호선 (상행선),첫차~09시,10분
1098,2024-03-11,3호선 (하행선),첫차~09시,10분
1099,2024-03-11,3호선 (상행선),첫차~09시,5분
1100,2024-03-12,1호선 (하행선),첫차~09시,10분
1101,2024-03-12,1호선 (상행선),첫차~09시,10분
1102,2024-03-12,2호선 (외선),첫차~09시,5분
1103,2024-03-12,4호선 (하행선),첫차~09시,10분
1104,2024-03-12,4호선 (상행선),첫차~09시,10분
1105,2024-03-12,3호선 (하행선),첫차~09시,10분
1106,2024-03-12,3호선 (상행선),첫차~09시,5분
1107,2024-03-12,7호선 (온수행),첫차~09시,20분
1108,2024-03-12,7호선 (부천구청행),첫차~09시,20분
1109,2024-03-12,7호선 (장암행),09시~18시,20분
1110,2024-03-12,7호선 (장암행),첫차~09시,20분
1111,2024-03-12,7호선 (온수행),09시~18시,20분
1112,2024-03-12,7호선 (부천구청행),09시~18시,20분
1113,2024-03-13,4호선 (상행선),09시~18시,15분
1114,2024-03-13,4호선 (하행선),09시~18시,15분
1115,2024-03-14,4호선 (상행선),첫차~09시,10분
1116,2024-03-14,4호선 (하행선),첫차~09시,15분
1117,2024-03-14,3호선 (상행선),첫차~09시,5분
1118,2024-03-14,3호선 (하행선),첫차~09시,5분
1119,2024-03-14,2호선 (외선),첫차~09시,5분
1120,2024-03-14,2호선 (내선),첫차~09시,10분
1121,2024-03-14,1호선 (하행선),첫차~09시,10분
1122,2024-03-14,1호선 (상행선),첫차~09시,5분
1123,2024-03-14,5호선 (방화행),09시~18시,5분
1124,2024-03-15,3호선 (상행선),첫차~09시,30분 이상
1125,2024-03-15,3호선 (하행선),첫차~09시,30분 이상
1126,2024-03-15,4호선 (하행선),첫차~09시,10분
1127,2024-03-15,4호선 (상행선),첫차~09시,10분
1128,2024-03-13,2호선 (외선),첫차~09시,5분
1129,2024-03-16,2호선 (외선),18시~막차,15분
1130,2024-03-16,2호선 (내선),18시~막차,15분
1131,2024-03-18,5호선 (방화행),첫차~09시,5분
1132,2024-03-18,2호선 (외선),첫차~09시,10분
1133,2024-03-18,4호선 (하행선),첫차~09시,10분
1134,2024-03-18,3호선 (상행선),첫차~09시,5분
1135,2024-03-18,3호선 (하행선),첫차~09시,10분
1136,2024-03-18,4호선 (상행선),첫차~09시,15분
1137,2024-03-18,1호선 (하행선),첫차~09시,10분
1138,2024-03-18,1호선 (상행선),첫차~09시,15분
1139,2024-03-19,4호선 (하행선),첫차~09시,10분
